# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	14802	16304	-	WP_048201087.1	WP_048201087.1		B12-binding domain-containing radical SAM protein		24890607	JH146_RS00080	1503	500	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	16389	17033	+						24890608	JH146_RS00085	645		old_locus_tag=JH146_0017
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	16389	17033	+	WP_048201088.1	WP_048201088.1		IS6 family transposase		24890608	JH146_RS00085	645	214	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	17126	17839	+						24890609	JH146_RS00090	714		old_locus_tag=JH146_0018
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	17126	17839	+	WP_048201089.1	WP_048201089.1		biotin--[acetyl-CoA-carboxylase] ligase		24890609	JH146_RS00090	714	237	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	17859	18239	+						24890610	JH146_RS00095	381		old_locus_tag=JH146_0019
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	17859	18239	+	WP_081874435.1	WP_081874435.1		cupin domain-containing protein		24890610	JH146_RS00095	381	126	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	18245	18523	-						24890611	JH146_RS00100	279		old_locus_tag=JH146_0020
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	18245	18523	-	WP_048201091.1	WP_048201091.1		TIGR00304 family protein		24890611	JH146_RS00100	279	92	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	18699	20171	-					guaB	24890612	JH146_RS00105	1473		old_locus_tag=JH146_0021
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	18699	20171	-	WP_173400847.1	WP_173400847.1		IMP dehydrogenase	guaB	24890612	JH146_RS00105	1473	490	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	20376	21146	+						24890613	JH146_RS00110	771		old_locus_tag=JH146_0022
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	20376	21146	+	WP_048201093.1	WP_048201093.1		hypothetical protein		24890613	JH146_RS00110	771	256	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	21328	22560	-						24890614	JH146_RS00115	1233		old_locus_tag=JH146_0023
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	21328	22560	-	WP_048201094.1	WP_048201094.1		2,3-bisphosphoglycerate-independent phosphoglycerate mutase		24890614	JH146_RS00115	1233	410	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	22619	23710	-						24890615	JH146_RS00120	1092		old_locus_tag=JH146_0024
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	22619	23710	-	WP_048201095.1	WP_048201095.1		RNA-guided endonuclease TnpB family protein		24890615	JH146_RS00120	1092	363	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	23947	25392	-						24890616	JH146_RS00125	1446		old_locus_tag=JH146_0025
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	23947	25392	-	WP_048201096.1	WP_048201096.1		glycoside hydrolase family 57 protein		24890616	JH146_RS00125	1446	481	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	25436	27274	-						24890617	JH146_RS00130	1839		old_locus_tag=JH146_0026
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	25436	27274	-	WP_048201097.1	WP_048201097.1		glycoside hydrolase family 15 protein		24890617	JH146_RS00130	1839	612	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	27345	27557	-						24890618	JH146_RS00135	213		old_locus_tag=JH146_0027
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	27345	27557	-	WP_048201098.1	WP_048201098.1		winged helix-turn-helix domain-containing protein		24890618	JH146_RS00135	213	70	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	27738	28910	-						24890619	JH146_RS00140	1173		old_locus_tag=JH146_0028
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	27738	28910	-	WP_048201099.1	WP_048201099.1		glycosyltransferase family 4 protein		24890619	JH146_RS00140	1173	390	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	29017	30582	+						24890620	JH146_RS00145	1566		old_locus_tag=JH146_0029
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	29017	30582	+	WP_048201100.1	WP_048201100.1		glycogen synthase		24890620	JH146_RS00145	1566	521	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	30599	31825	+					pgi	24890621	JH146_RS00150	1227		old_locus_tag=JH146_0030
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	30599	31825	+	WP_048201101.1	WP_048201101.1		glucose-6-phosphate isomerase	pgi	24890621	JH146_RS00150	1227	408	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	31812	33194	+					pfkC	24890622	JH146_RS00155	1383		old_locus_tag=JH146_0031
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	31812	33194	+	WP_048201102.1	WP_048201102.1		ADP-specific phosphofructokinase	pfkC	24890622	JH146_RS00155	1383	460	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	33213	33893	-					rpiA	24890623	JH146_RS00160	681		old_locus_tag=JH146_0032
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	33213	33893	-	WP_048201103.1	WP_048201103.1		ribose-5-phosphate isomerase RpiA	rpiA	24890623	JH146_RS00160	681	226	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	34226	35491	+						24890624	JH146_RS00165	1266		old_locus_tag=JH146_0033
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	34226	35491	+	WP_048201104.1	WP_048201104.1		tRNA(Ile)(2)-agmatinylcytidine synthase		24890624	JH146_RS00165	1266	421	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	35561	36718	+						24890625	JH146_RS00170	1158		old_locus_tag=JH146_0034
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	35561	36718	+	WP_048201105.1	WP_048201105.1		YcaO-related McrA-glycine thioamidation protein		24890625	JH146_RS00170	1158	385	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	36734	37657	-					nifB	24890626	JH146_RS00175	924		old_locus_tag=JH146_0035
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	36734	37657	-	WP_236953663.1	WP_236953663.1		FeMo cofactor biosynthesis protein NifB	nifB	24890626	JH146_RS00175	924	307	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	37734	38375	-						24890627	JH146_RS00180	642		old_locus_tag=JH146_0036
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	37734	38375	-	WP_081874436.1	WP_081874436.1		sulfite exporter TauE/SafE family protein		24890627	JH146_RS00180	642	213	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	38659	39357	+						24890628	JH146_RS00185	699		old_locus_tag=JH146_0037
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	38659	39357	+	WP_048201107.1	WP_048201107.1		energy-coupling factor ABC transporter permease		24890628	JH146_RS00185	699	232	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	39359	39649	+						24890629	JH146_RS00190	291		old_locus_tag=JH146_0038
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	39359	39649	+	WP_048201108.1	WP_048201108.1		energy-coupling factor ABC transporter substrate-binding protein		24890629	JH146_RS00190	291	96	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	39700	40479	+					cbiQ	24890630	JH146_RS00195	780		old_locus_tag=JH146_0039
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	39700	40479	+	WP_048202554.1	WP_048202554.1		cobalt ECF transporter T component CbiQ	cbiQ	24890630	JH146_RS00195	780	259	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	40489	41328	+						24890631	JH146_RS00200	840		old_locus_tag=JH146_0040
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	40489	41328	+	WP_048201109.1	WP_048201109.1		ATP-binding cassette domain-containing protein		24890631	JH146_RS00200	840	279	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	41449	42387	-					mvk	24890632	JH146_RS00205	939		old_locus_tag=JH146_0041
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	41449	42387	-	WP_048201110.1	WP_048201110.1		mevalonate kinase	mvk	24890632	JH146_RS00205	939	312	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	42401	43423	-						24890633	JH146_RS00210	1023		old_locus_tag=JH146_0042
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	42401	43423	-	WP_048201111.1	WP_048201111.1		nucleotidyltransferase domain-containing protein		24890633	JH146_RS00210	1023	340	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	43420	44943	-						24890634	JH146_RS00215	1524		old_locus_tag=JH146_0043
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	43420	44943	-	WP_048201112.1	WP_048201112.1		hypothetical protein		24890634	JH146_RS00215	1524	507	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	45031	45438	-						59657589	JH146_RS08735	408		
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	45031	45438	-	WP_236953699.1	WP_236953699.1		hypothetical protein		59657589	JH146_RS08735	408	135	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	45417	45899	-						70359816	JH146_RS08750	483		old_locus_tag=JH146_0045
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	45417	45899	-	WP_048201114.1	WP_048201114.1		hypothetical protein		70359816	JH146_RS08750	483	160	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	45936	46832	-					aroE	24890637	JH146_RS00230	897		old_locus_tag=JH146_0046
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	45936	46832	-	WP_048201115.1	WP_048201115.1		shikimate dehydrogenase	aroE	24890637	JH146_RS00230	897	298	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	46922	47503	-						24890638	JH146_RS00235	582		old_locus_tag=JH146_0047
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	46922	47503	-	WP_048201116.1	WP_048201116.1		flavodoxin family protein		24890638	JH146_RS00235	582	193	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	47556	47930	-						24890639	JH146_RS00240	375		old_locus_tag=JH146_0048
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	47556	47930	-	WP_048201117.1	WP_048201117.1		winged helix-turn-helix transcriptional regulator		24890639	JH146_RS00240	375	124	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	47961	48368	-						24890640	JH146_RS00245	408		old_locus_tag=JH146_0049
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	47961	48368	-	WP_048201118.1	WP_048201118.1		secondary thiamine-phosphate synthase enzyme YjbQ		24890640	JH146_RS00245	408	135	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	48493	50316	+						24890641	JH146_RS00250	1824		old_locus_tag=JH146_0050
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	48493	50316	+	WP_048201119.1	WP_048201119.1		glycosyltransferase family 39 protein		24890641	JH146_RS00250	1824	607	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	50317	51033	+						24890642	JH146_RS00255	717		old_locus_tag=JH146_0051
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	50317	51033	+	WP_048201120.1	WP_048201120.1		glycosyltransferase family 2 protein		24890642	JH146_RS00255	717	238	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	51074	52873	-						24890643	JH146_RS00260	1800		old_locus_tag=JH146_0052
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	51074	52873	-	WP_048201121.1	WP_048201121.1		hypothetical protein		24890643	JH146_RS00260	1800	599	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	53026	53433	-						70359817	JH146_RS08755	408		
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	53026	53433	-	WP_236953700.1	WP_236953700.1		hypothetical protein		70359817	JH146_RS08755	408	135	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	53412	53894	-						70359818	JH146_RS08760	483		old_locus_tag=JH146_0054
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	53412	53894	-	WP_048201114.1	WP_048201114.1		hypothetical protein		70359818	JH146_RS08760	483	160	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	54057	55247	+						24890646	JH146_RS00275	1191		old_locus_tag=JH146_0055
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	54057	55247	+	WP_048201123.1	WP_048201123.1		tripartite tricarboxylate transporter permease		24890646	JH146_RS00275	1191	396	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	55249	56217	+						24890647	JH146_RS00280	969		old_locus_tag=JH146_0056
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	55249	56217	+	WP_048201124.1	WP_048201124.1		UPF0104 family protein		24890647	JH146_RS00280	969	322	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	56413	57978	+					serS	24890648	JH146_RS00285	1566		old_locus_tag=JH146_0057
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	56413	57978	+	WP_048201125.1	WP_048201125.1		serine--tRNA ligase	serS	24890648	JH146_RS00285	1566	521	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	58116	59132	+						24890649	JH146_RS00290	1017		old_locus_tag=JH146_0058
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	58116	59132	+	WP_048201126.1	WP_048201126.1		ATP-binding protein		24890649	JH146_RS00290	1017	338	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	59137	60561	+					trpE	24890650	JH146_RS00295	1425		old_locus_tag=JH146_0059
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	59137	60561	+	WP_173400789.1	WP_173400789.1		anthranilate synthase component I	trpE	24890650	JH146_RS00295	1425	474	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	60711	61574	+						24890651	JH146_RS00300	864		old_locus_tag=JH146_0060
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	60711	61574	+	WP_048201127.1	WP_048201127.1		serine/threonine-protein kinase RIO2		24890651	JH146_RS00300	864	287	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	61652	62077	+						24890652	JH146_RS00305	426		old_locus_tag=JH146_0061
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	61652	62077	+	WP_048201128.1	WP_048201128.1		hypothetical protein		24890652	JH146_RS00305	426	141	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	62096	63037	+						24890653	JH146_RS00310	942		old_locus_tag=JH146_0062
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	62096	63037	+	WP_048201129.1	WP_048201129.1		DHH family phosphoesterase		24890653	JH146_RS00310	942	313	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	63034	63507	+						24890654	JH146_RS00315	474		old_locus_tag=JH146_0063
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	63034	63507	+	WP_052352063.1	WP_052352063.1		hypothetical protein		24890654	JH146_RS00315	474	157	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	63610	64728	+						24890655	JH146_RS00320	1119		old_locus_tag=JH146_0064
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	63610	64728	+	WP_048201131.1	WP_048201131.1		glycosyltransferase family 9 protein		24890655	JH146_RS00320	1119	372	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	64725	65762	+					waaF	24890656	JH146_RS00325	1038		old_locus_tag=JH146_0065
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	64725	65762	+	WP_048201132.1	WP_048201132.1		lipopolysaccharide heptosyltransferase II	waaF	24890656	JH146_RS00325	1038	345	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	65772	66776	+						24890657	JH146_RS00330	1005		old_locus_tag=JH146_0066
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	65772	66776	+	WP_048201133.1	WP_048201133.1		glycosyltransferase family 2 protein		24890657	JH146_RS00330	1005	334	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	66816	67682	-						24890658	JH146_RS00335	867		old_locus_tag=JH146_0067
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	66816	67682	-	WP_048201134.1	WP_048201134.1		glycosyltransferase family 2 protein		24890658	JH146_RS00335	867	288	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	67881	68108	+						24890659	JH146_RS00340	228		old_locus_tag=JH146_0068
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	67881	68108	+	WP_048201135.1	WP_048201135.1		CopG family transcriptional regulator		24890659	JH146_RS00340	228	75	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	68162	69310	+					sat	24890660	JH146_RS00345	1149		old_locus_tag=JH146_0069
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	68162	69310	+	WP_048201136.1	WP_048201136.1		sulfate adenylyltransferase	sat	24890660	JH146_RS00345	1149	382	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	69312	70253	+						24890661	JH146_RS00350	942		old_locus_tag=JH146_0070
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	69312	70253	+	WP_048201137.1	WP_048201137.1		DHH family phosphoesterase		24890661	JH146_RS00350	942	313	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	70259	71647	+						24890662	JH146_RS00355	1389		old_locus_tag=JH146_0071
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	70259	71647	+	WP_048201138.1	WP_048201138.1		alkaline phosphatase family protein		24890662	JH146_RS00355	1389	462	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	71644	72168	+					cysC	24890663	JH146_RS00360	525		old_locus_tag=JH146_0072
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	71644	72168	+	WP_048201139.1	WP_048201139.1		adenylyl-sulfate kinase	cysC	24890663	JH146_RS00360	525	174	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	72179	72928	+						24890664	JH146_RS00365	750		old_locus_tag=JH146_0073
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	72179	72928	+	WP_048201140.1	WP_048201140.1		sulfite exporter TauE/SafE family protein		24890664	JH146_RS00365	750	249	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	73003	74532	+						24890665	JH146_RS00370	1530		old_locus_tag=JH146_0074
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	73003	74532	+	WP_048201141.1	WP_048201141.1		flippase		24890665	JH146_RS00370	1530	509	
